datetime,city,latitude,longitude,temperature_celsius,humidity_pct,pressure_hpa,wind_speed_ms,visibility,rain,clouds,weather_condition,weather_description
2023-12-29 17:21:15+03,Athi River,-1.45772,36.97850,14.92,23,964,6.47,13063,0.16,8,rain,snowy
2023-12-10 02:39:10+03,Voi,-3.39731,38.55593,20.43,17,1002,12.74,963,0.8,93,rain,snowy
2024-01-20 15:50:03+03,Kilifi,-3.51065,39.90933,30.69,37,872,8.87,15377,0.66,17,clear,thunderstorms with light rains
2023-11-24 22:40:21+03,Kabarnet,0.49011,35.74342,39.62,20,902,19.62,13922,0.07,9,rain,snowy
2023-12-03 17:31:07+03,Kiambu,-1.17481,36.83041,26.78,90,877,9.89,1856,0.84,75,drizzle,moderate rain
2024-01-06 13:16:51+03,Lodwar,3.11552,35.60408,20.01,78,1037,11.88,4320,0.3,3,rain,thunderstorms with light rains
2023-12-13 07:42:53+03,Lodwar,3.11552,35.60408,33,85,1069,9,2470,0.19,87,snow,cloudy
2023-12-31 01:38:53+03,Bungoma,0.56953,34.55838,30.37,2,1044,4.95,5726,0.5,54,snow,windy
2023-12-03 19:26:32+03,Keroka,-0.77711,34.94584,23.18,74,950,6.28,8676,0.96,89,snow,stormy
2023-11-07 04:33:51+03,Malindi,-3.21919,40.11689,39.88,61,1042,1.15,14154,0.71,95,clear,thunderstorms
2023-12-03 03:03:34+03,Malikisi,0.68124,34.42121,32.99,34,1072,3.54,13747,0.15,58,clear,light rain
2023-11-07 23:19:44+03,Kitale,1.01909,35.00230,37.65,43,899,10.15,3257,0.41,34,clear,heavy snow
2023-12-22 20:39:34+03,Naivasha,-0.71718,36.43103,11.61,44,909,8.51,17013,0.56,100,clear,thunderstorms with light rains
2024-01-22 02:44:10+03,Butere,0.21982,34.49190,22.89,43,1073,13.32,11793,0.95,13,drizzle,light rain
2024-01-13 05:57:46+03,Malindi,-3.21919,40.11689,12.29,15,1052,16.18,10071,0.43,11,clouds,light rain
2024-01-17 11:01:18+03,Konza,-1.77758,37.10977,33.77,21,1005,19.71,16259,0.17,46,thunderstorms,windy
2023-12-17 16:49:03+03,Molo,-0.24884,35.73237,37.72,59,943,14.45,14321,0.41,52,rain,windy
2024-01-15 07:08:31+03,Meru,0.05147,37.64560,16.79,38,956,0.85,19969,0.57,29,drizzle,light rain
2024-01-15 23:36:32+03,Kericho,-0.36890,35.28629,10.88,10,941,11.51,17536,0.79,18,clear,sunny
2023-12-16 20:13:51+03,Kapsabet,0.20296,35.09784,28.14,2,988,13.71,4927,0.41,4,clear,heavy snow
2023-11-06 13:59:21+03,Homa Bay,-0.53504,34.45310,29.7,2,879,18.85,13731,0.6,40,thunderstorms,sunny
2023-12-29 19:48:06+03,Lamu,-2.26956,40.90064,28.06,4,932,6.6,6809,0.35,45,drizzle,partly cloudy
2023-11-30 06:11:47+03,Naivasha,-0.71718,36.43103,13.51,34,1066,4.72,6959,0.75,40,rain,thunderstorms
2023-12-22 08:23:49+03,Kakamega,0.28273,34.75186,36.24,12,963,4.68,16627,0.97,16,drizzle,heavy snow
2024-01-16 17:24:57+03,Kipini,-2.52656,40.52925,13.41,58,1043,6.02,19381,0.2,21,rain,sunny
2023-12-16 05:27:02+03,Embu,-0.53884,37.45964,32.03,50,932,1.55,17839,0.93,63,thunderstorms,moderate rain
2023-11-14 19:03:55+03,Kisumu,-0.09170,34.76796,16.62,49,903,5.99,9594,0.16,62,drizzle,partly cloudy
2023-11-04 13:56:55+03,Athi River,-1.45772,36.97850,20.61,68,1045,8.03,14121,0.38,1,clouds,stormy
2024-01-24 09:58:07+03,Keroka,-0.77711,34.94584,39.83,61,971,1.78,11079,0.84,12,clouds,light rain
2023-11-09 09:03:54+03,Bungoma,0.56953,34.55838,32.64,46,938,2.89,4721,0.2,31,rain,foggy
2023-11-15 08:13:11+03,Webuye,0.59921,34.77960,16.57,54,913,18.98,6592,0.27,54,thunderstorms,light rain
2023-11-14 22:28:27+03,Athi River,-1.45772,36.97850,21.32,23,923,18.09,11517,0.93,39,clear,cloudy
2023-11-27 22:41:29+03,Moyale,3.53998,39.05284,17.96,95,988,15.15,6944,0.94,77,rain,partly cloudy
2023-11-09 09:41:37+03,Migori,-1.07070,34.47527,22.43,25,1007,9.44,17501,0.76,20,snow,snowy
2023-12-29 14:48:34+03,Machakos,-1.51768,37.26341,15.74,19,901,10.89,2102,0.66,98,snow,heavy snow
2023-11-18 11:42:56+03,Malindi,-3.21919,40.11689,13.92,60,1035,7.97,7578,0.06,74,snow,cloudy
2023-11-21 10:27:02+03,Lamu,-2.26956,40.90064,39.69,7,927,10.74,16967,0.75,2,snow,partly cloudy
2023-11-12 16:54:44+03,Konza,-1.77758,37.10977,39.54,51,908,14.76,596,0.77,36,clouds,snowy
2023-12-24 01:40:01+03,Kakamega,0.28273,34.75186,12.08,57,1084,2.56,2554,0.94,8,snow,windy
2024-01-30 11:36:34+03,Lodwar,3.11552,35.60408,26.43,12,1019,6.18,15789,0.25,65,drizzle,windy
2023-12-18 10:46:26+03,Eldama Ravine,0.05304,35.72977,39.77,96,1073,17.93,9921,0.94,37,clouds,thunderstorms
2023-11-01 16:08:22+03,Lugulu,0.39361,34.30528,39.11,100,999,15.41,8853,0.16,53,thunderstorms,thunderstorms with light rains
2023-12-06 10:54:17+03,Makueni,-1.78650,37.63111,37.18,81,923,12.45,1667,0.1,21,rain,windy
2023-12-16 05:17:30+03,Nanyuki,0.00744,37.07223,26.73,71,883,3.73,4106,0.75,97,drizzle,sunny
2023-12-20 11:01:47+03,Bungoma,0.56953,34.55838,39.59,30,1034,4.27,14383,0.29,15,clear,partly cloudy
2024-01-16 01:39:32+03,Konza,-1.77758,37.10977,21.13,93,1084,16.43,7007,0.71,57,clouds,sunny
2023-11-22 09:27:38+03,Ol Kalou,-0.27270,36.37752,21.75,86,1008,9.31,15244,0.99,79,clouds,thunderstorms
2023-12-25 11:06:32+03,Ol Kalou,-0.27270,36.37752,38.55,12,889,9.38,13164,0.95,95,clouds,hazy
2024-01-20 20:51:08+03,Ol Kalou,-0.27270,36.37752,11.96,85,1015,9.77,13641,0.23,89,thunderstorms,moderate rain
2024-01-04 02:06:05+03,Machakos,-1.51768,37.26341,10.2,75,1083,9.94,19100,0.3,18,drizzle,snowy
2023-12-31 15:18:48+03,Molo,-0.24884,35.73237,27.82,71,1062,17.6,15906,0.5,83,snow,moderate rain
2023-12-18 18:39:18+03,Garissa,-0.45323,39.64610,19.34,59,1009,5.62,6790,0.3,73,clear,stormy
2024-01-22 16:44:48+03,Migori,-1.07070,34.47527,11.88,100,946,11.76,7889,0.04,98,snow,foggy
2024-01-03 18:10:38+03,Eldoret,0.51428,35.26978,27.88,53,912,11.67,9195,0.68,52,thunderstorms,heavy snow
2023-12-04 18:42:51+03,Marsabit,2.33550,37.99435,37.18,85,1084,6.33,13364,0.42,51,drizzle,hazy
2023-12-08 23:49:12+03,Bungoma,0.56953,34.55838,37.57,51,1019,16.08,18691,0.51,66,clear,stormy
2023-11-20 00:13:02+03,Lugulu,0.39361,34.30528,15.73,25,1010,1.53,4101,0.54,84,thunderstorms,thunderstorms
2024-01-13 08:31:15+03,Nyeri,-0.42778,36.94336,16.64,72,893,4.37,1988,0.06,34,rain,heavy snow
2023-11-26 01:59:26+03,Kapsabet,0.20296,35.09784,38.29,26,1058,19.02,9728,0.41,66,thunderstorms,cloudy
2023-12-21 13:47:52+03,Kipini,-2.52656,40.52925,24.16,27,1052,8.88,1953,0.53,23,rain,heavy snow
2023-12-08 20:09:26+03,Kihancha,-1.19398,34.61650,12.45,82,873,15.95,6219,0.59,76,thunderstorms,hazy
2023-12-11 21:50:15+03,Homa Bay,-0.53504,34.45310,19.99,6,897,19.75,18073,0.97,92,rain,heavy snow
2024-01-02 06:51:49+03,Siaya,-0.09982,34.27470,24.76,42,1014,19.4,5520,0.42,3,snow,partly cloudy
2023-12-24 05:42:05+03,Kitui,-1.37508,37.99521,20.37,26,926,17.93,11182,0.02,30,rain,hazy
2023-12-16 13:31:02+03,Nakuru,-0.30310,36.08003,17.49,70,919,13.18,6227,0.18,79,clouds,sunny
2023-12-11 05:03:53+03,Butere,0.21982,34.49190,12,10,930,2.7,16594,0.32,69,rain,cloudy
2023-11-11 20:35:04+03,Eldoret,0.51428,35.26978,16.71,1,889,8.7,14006,0.03,37,snow,partly cloudy
2023-12-14 09:48:06+03,Kitui,-1.37508,37.99521,10.4,6,1054,12.32,11859,1,89,clear,foggy
2023-11-02 16:51:33+03,Bungoma,0.56953,34.55838,31.13,66,1003,0.53,15652,0.28,49,clear,heavy snow
2023-12-11 20:27:48+03,Kabarnet,0.49011,35.74342,38.85,81,883,14.15,3087,0.3,49,rain,heavy snow
2024-01-17 05:22:41+03,Lodwar,3.11552,35.60408,38.32,95,1075,2.98,17952,0.5,3,drizzle,stormy
2023-12-11 21:53:05+03,Kilifi,-3.51065,39.90933,35.88,86,990,14.78,8697,0.8,48,clouds,hazy
2024-01-14 15:22:15+03,Keroka,-0.77711,34.94584,38.22,81,871,18,15402,0.03,91,drizzle,foggy
2024-01-21 21:04:36+03,Nairobi,-1.29207,36.82195,39.8,87,939,6.89,17674,0.34,16,snow,stormy
2023-11-26 15:30:24+03,Kakamega,0.28273,34.75186,31.42,69,895,10.24,15258,0.39,13,snow,sunny
2023-11-07 23:39:23+03,Londiani,-0.16347,35.59314,38.96,100,1004,10.52,8274,0.43,50,rain,snowy
2024-01-10 18:24:00+03,Molo,-0.24884,35.73237,31.91,21,1014,3.31,15862,0.66,58,drizzle,thunderstorms
2023-11-28 06:21:20+03,Ol Kalou,-0.27270,36.37752,19.79,3,1010,3.53,931,0.43,26,clouds,sunny
2024-01-25 18:36:00+03,Makueni,-1.78650,37.63111,25.2,59,888,18.81,2201,0.43,10,clear,windy
2024-01-22 18:49:10+03,Mumias,0.33322,34.48774,29.91,40,1040,2.95,5156,0.73,29,snow,windy
2024-01-23 03:21:04+03,Kisii,-0.67733,34.77960,31.32,92,1000,13.29,16836,0.06,7,snow,stormy
2023-12-07 16:54:16+03,Ol Kalou,-0.27270,36.37752,27.81,28,1019,19.57,17679,0.84,18,rain,thunderstorms
2023-12-09 19:51:43+03,Kinango,-4.13934,39.31803,12.5,92,1078,0.84,10957,0.47,18,snow,sunny
2023-11-12 03:47:14+03,Nanyuki,0.00744,37.07223,26.14,60,881,15.76,2099,0.52,98,drizzle,moderate rain
2023-12-02 08:09:33+03,Malindi,-3.21919,40.11689,18.16,21,1005,18.83,1335,0.86,16,clear,foggy
2023-12-12 22:32:29+03,Embu,-0.53884,37.45964,28.17,66,992,16.29,16247,0.77,7,clear,thunderstorms
2023-12-12 17:50:33+03,Muhoroni,-0.15661,35.19836,38.6,27,1012,13.14,6980,0.2,47,thunderstorms,snowy
2023-12-31 11:30:54+03,Homa Bay,-0.53504,34.45310,24.9,83,919,2.07,3447,0.11,64,thunderstorms,thunderstorms with light rains
2023-11-06 19:47:59+03,Kakamega,0.28273,34.75186,38.02,49,935,2.36,4886,0.1,78,clear,cloudy
2023-11-25 15:15:22+03,Eldoret,0.51428,35.26978,29.31,6,881,3.06,3729,0.78,65,drizzle,sunny
2023-12-25 18:15:59+03,Kisii,-0.67733,34.77960,31.96,5,906,10.24,2377,0.27,11,clouds,partly cloudy
2023-11-10 09:59:27+03,Kisii,-0.67733,34.77960,26.5,82,1015,17.2,13810,0.86,85,rain,snowy
2024-01-19 05:42:34+03,Eldoret,0.51428,35.26978,36.03,39,1012,13.72,15758,0.95,84,drizzle,thunderstorms with light rains
2024-01-25 14:57:47+03,Konza,-1.77758,37.10977,13.29,12,1059,5.04,17658,0.48,82,clouds,light rain
2023-12-04 01:20:28+03,Isiolo,0.35564,37.58331,37.09,82,958,12.56,8220,0.39,61,drizzle,heavy snow
2023-12-04 20:10:31+03,Kipini,-2.52656,40.52925,38.79,49,893,10.51,2297,0.07,18,clouds,heavy snow
2023-11-19 06:25:50+03,Mumias,0.33322,34.48774,22.37,74,956,1.73,4404,0.37,18,clouds,sunny
2023-12-24 18:17:15+03,Kisii,-0.67733,34.77960,30.23,89,1083,7.66,5172,0.89,24,clouds,foggy
2024-01-09 02:20:05+03,Kapenguria,1.24819,35.11037,24.13,81,1046,5.75,9134,0.23,89,clear,cloudy
2023-11-03 18:24:31+03,Kapsabet,0.20296,35.09784,12.53,51,873,19.87,12883,0.86,65,clear,windy
2023-12-31 02:13:49+03,Garissa,-0.45323,39.64610,10.94,90,1072,3.67,4039,0.98,76,rain,thunderstorms
2023-12-03 14:35:45+03,Lugulu,0.39361,34.30528,33.24,26,912,12.31,14359,0.76,20,thunderstorms,moderate rain
2023-12-15 09:35:29+03,Kisumu,-0.09170,34.76796,34.32,57,877,1.1,2623,0.34,19,clouds,snowy
2023-12-31 12:56:20+03,Karuri,-0.71344,37.03735,24.25,87,1078,3.85,4652,0.78,61,thunderstorms,thunderstorms
2023-11-03 21:31:09+03,Garissa,-0.45323,39.64610,20.62,15,1022,17.21,10624,0.15,80,clouds,thunderstorms
2023-11-08 08:52:31+03,Kipini,-2.52656,40.52925,32.31,95,1076,5.19,15840,0.94,55,rain,hazy
2024-01-14 21:50:35+03,Muhoroni,-0.15661,35.19836,22.37,47,925,8.22,1927,0.17,64,clouds,snowy
2023-12-26 00:22:03+03,Eldoret,0.51428,35.26978,18.46,28,1016,0.86,6492,0.25,40,snow,moderate rain
2023-11-22 13:07:25+03,Naivasha,-0.71718,36.43103,29.01,20,928,2.09,4048,0.18,68,clear,light rain
2024-01-18 20:28:30+03,Garissa,-0.45323,39.64610,24.49,34,929,7.35,6218,0.26,64,clouds,snowy
2024-01-04 12:57:36+03,Maralal,1.09314,36.70183,14.57,5,952,6.13,5004,0.91,53,rain,hazy
2023-12-13 11:02:11+03,Busia,0.46077,34.11146,39.31,0,915,5.2,2589,0.39,41,thunderstorms,cloudy
2024-01-20 13:03:43+03,Chepareria,1.30811,35.20660,36.98,17,881,13.62,13308,0.47,57,drizzle,snowy
2023-12-31 05:33:12+03,Kitale,1.01909,35.00230,25.4,49,1042,17.38,15573,0.41,81,rain,foggy
2023-11-04 05:48:26+03,Kiambu,-1.17481,36.83041,15.86,100,966,7.47,1301,0.74,26,thunderstorms,stormy
2024-01-05 09:06:01+03,Siaya,-0.09982,34.27470,25,93,900,1.61,15136,0.16,54,snow,hazy
2023-11-12 13:28:26+03,Kakamega,0.28273,34.75186,35.58,6,1005,13.48,735,0.11,56,snow,snowy
2024-01-26 03:31:21+03,Kipini,-2.52656,40.52925,20.53,14,893,11.25,17364,1,19,snow,sunny
2023-12-19 11:12:56+03,Eldoret,0.51428,35.26978,28.56,31,986,12.05,450,0.32,13,drizzle,hazy
2023-11-20 13:43:14+03,Athi River,-1.45772,36.97850,37.96,55,911,19.2,9568,0.62,56,rain,windy
2023-12-24 20:31:59+03,Machakos,-1.51768,37.26341,18.39,89,909,6.79,7577,0.71,44,rain,light rain
2023-12-14 00:54:21+03,Lamu,-2.26956,40.90064,35.63,61,991,1.45,19861,0.14,5,thunderstorms,hazy
2023-11-10 07:17:37+03,Nyeri,-0.42778,36.94336,29.64,0,1009,18.59,3016,0.1,17,drizzle,snowy
2023-11-12 00:06:01+03,Isiolo,0.35564,37.58331,33.16,97,911,1.61,19094,0.02,51,thunderstorms,stormy
2023-12-12 00:12:17+03,Keroka,-0.77711,34.94584,11.97,26,1079,14.35,4810,0.89,56,clouds,light rain
2024-01-19 11:05:54+03,Meru,0.05147,37.64560,32.07,74,1042,7.38,11809,0.92,19,thunderstorms,moderate rain
2023-11-20 05:52:16+03,Butere,0.21982,34.49190,20.35,59,874,0.73,11503,0.31,82,clear,thunderstorms
2024-01-15 15:08:31+03,Kakamega,0.28273,34.75186,20.1,44,1073,3.27,13493,0.88,45,clouds,sunny
2024-01-30 11:33:36+03,Bungoma,0.56953,34.55838,27.47,50,1080,13.85,1154,0.59,22,thunderstorms,partly cloudy
2023-12-03 07:46:58+03,Kiambu,-1.17481,36.83041,34.89,76,1061,2.65,3794,0.73,26,clear,light rain
2023-11-15 05:12:22+03,Moyale,3.53998,39.05284,10.19,76,963,0.6,19951,0.1,36,clear,stormy
2024-01-11 01:36:28+03,Lodwar,3.11552,35.60408,18.85,24,1033,19.8,17319,0.15,50,drizzle,cloudy
2024-01-22 03:45:26+03,Butere,0.21982,34.49190,34.68,83,1056,11.13,106,0.97,3,clear,heavy snow
2024-01-12 01:34:18+03,Athi River,-1.45772,36.97850,22.46,52,903,19.34,6658,0.17,69,drizzle,windy
2023-12-23 23:37:25+03,Londiani,-0.16347,35.59314,35.67,35,1041,19.65,9996,0.6,69,clear,snowy
2023-12-16 19:15:20+03,Kitui,-1.37508,37.99521,22.91,35,989,6.95,7173,0.36,68,clouds,thunderstorms with light rains
2023-11-05 09:08:24+03,Lugulu,0.39361,34.30528,24.59,84,1058,1.16,7771,0.49,21,thunderstorms,windy
2023-12-05 05:32:26+03,Meru,0.05147,37.64560,14,27,1005,16.49,11990,0.37,63,snow,moderate rain
2024-01-07 01:57:54+03,Garissa,-0.45323,39.64610,36.63,3,880,18.1,10590,0.34,38,thunderstorms,light rain
2023-12-18 14:00:31+03,Isiolo,0.35564,37.58331,25.3,51,1037,5.25,16230,0.31,25,drizzle,heavy snow
2023-12-19 03:06:25+03,Makueni,-1.78650,37.63111,34.06,2,930,5.67,9428,0.85,72,drizzle,light rain
2024-01-25 00:43:28+03,Kitale,1.01909,35.00230,12.49,50,920,16.67,1886,0.3,91,drizzle,sunny
2024-01-23 22:18:59+03,Homa Bay,-0.53504,34.45310,16.08,96,894,9.84,10500,0.61,38,drizzle,stormy
2023-12-05 22:01:50+03,Rongai,-1.39386,36.74424,24.64,61,871,10.39,14853,0.55,34,clear,thunderstorms
2023-11-20 17:57:00+03,Lamu,-2.26956,40.90064,39.34,7,1025,2.99,10747,0.88,54,drizzle,stormy
2023-11-11 03:04:51+03,Wajir,1.74884,40.05863,35.28,97,934,13.79,5947,0.28,75,thunderstorms,light rain
2024-01-27 17:00:11+03,Nyeri,-0.42778,36.94336,38.75,38,891,9.59,8210,0.41,100,drizzle,thunderstorms
2023-11-10 16:35:03+03,Kisii,-0.67733,34.77960,18.72,59,890,6.64,8154,0.78,63,rain,windy
2023-12-05 12:41:24+03,Mumias,0.33322,34.48774,15.79,83,988,11.92,8052,0.15,81,clouds,sunny
2023-11-20 08:19:53+03,Kisumu,-0.09170,34.76796,23.02,15,961,12.44,6339,0.46,78,snow,heavy snow
2023-12-14 23:27:05+03,Londiani,-0.16347,35.59314,33.35,37,1057,4.43,4127,0.91,78,snow,thunderstorms with light rains
2023-11-12 07:41:42+03,Rongai,-1.39386,36.74424,10.41,71,938,0.98,10355,0.47,60,thunderstorms,foggy
2023-12-02 09:31:14+03,Kitale,1.01909,35.00230,18.25,43,973,9.51,14838,0.3,29,rain,thunderstorms with light rains
2023-12-06 17:18:27+03,Siaya,-0.09982,34.27470,18.48,82,932,3.94,10281,0.67,92,snow,thunderstorms with light rains
2023-11-21 11:18:22+03,Kabarnet,0.49011,35.74342,29.65,82,872,9.62,7614,0.81,92,clouds,stormy
2024-01-09 22:42:06+03,Pumwani,-1.28166,36.84588,23.23,4,930,12.44,8669,0.18,44,clouds,hazy
2023-11-30 13:12:41+03,Kapenguria,1.24819,35.11037,13.69,17,891,5.09,9491,0.74,6,clear,windy
2023-11-03 16:50:15+03,Nakuru,-0.30310,36.08003,18.94,83,976,3.08,12360,0.08,73,snow,sunny
2023-12-20 15:41:21+03,Isiolo,0.35564,37.58331,25.24,71,956,6.75,97,0.97,64,clouds,light rain
2024-01-18 04:41:52+03,Mbale,1.07844,34.18101,26.43,60,910,18.21,145,0.88,93,drizzle,heavy snow
2023-11-09 21:42:16+03,Embu,-0.53884,37.45964,38.31,96,1054,17.59,12277,0.06,31,thunderstorms,heavy snow
2024-01-08 11:33:22+03,Makueni,-1.78650,37.63111,35.2,45,1006,16.76,10981,0.22,83,rain,foggy
2023-12-15 18:31:47+03,Kinango,-4.13934,39.31803,18.67,94,1035,8.82,2758,0.39,84,snow,moderate rain
2023-12-17 16:07:16+03,Londiani,-0.16347,35.59314,15.95,33,995,14.45,18633,0.15,60,thunderstorms,light rain
2024-01-08 18:35:34+03,Keroka,-0.77711,34.94584,23.15,12,918,12.77,3714,0.92,80,thunderstorms,foggy
2023-12-31 12:41:33+03,Meru,0.05147,37.64560,26.28,5,1055,4.35,12944,0.82,72,clouds,thunderstorms with light rains
2023-12-31 09:56:44+03,Mbale,1.07844,34.18101,30.92,84,917,16.76,18533,0.64,19,rain,partly cloudy
2024-01-24 13:53:28+03,Lamu,-2.26956,40.90064,39.75,15,940,11.45,5433,0.49,8,clouds,snowy
2024-01-25 05:59:58+03,Embu,-0.53884,37.45964,20.19,66,1054,19.72,10492,0.16,29,snow,foggy
2024-01-08 16:44:18+03,Malaba,0.63621,34.27828,34.95,61,891,4.61,15856,0.42,10,clear,heavy snow
2023-11-09 15:30:26+03,Keruguya,-0.49933,37.27848,32.4,33,930,7.3,9082,0.52,95,clear,cloudy
2023-11-15 22:48:57+03,Malaba,0.63621,34.27828,35.39,71,1059,13.13,5437,0.05,61,snow,partly cloudy
2023-12-01 17:43:09+03,Muhoroni,-0.15661,35.19836,36.82,42,1079,13.89,4023,0.62,87,thunderstorms,sunny
2024-01-06 04:32:01+03,Butere,0.21982,34.49190,38.68,20,930,9.22,8855,0.46,4,snow,windy
2023-11-17 10:58:28+03,Lodwar,3.11552,35.60408,35.33,75,1024,11.63,5725,0.02,26,thunderstorms,thunderstorms with light rains
2023-11-20 07:02:46+03,Kisumu,-0.09170,34.76796,24.05,98,919,17.77,18739,0.07,69,rain,hazy
2023-11-26 02:56:01+03,Kisumu,-0.09170,34.76796,18.38,100,877,5.62,10407,0.84,2,thunderstorms,thunderstorms with light rains
2023-12-23 11:33:33+03,Molo,-0.24884,35.73237,33.98,69,993,3.32,14459,0.79,6,clear,hazy
2023-11-02 16:19:31+03,Kilifi,-3.51065,39.90933,34.47,88,950,17.99,19621,0.1,1,drizzle,moderate rain
2023-11-06 21:45:13+03,Kabarnet,0.49011,35.74342,32.76,44,1081,9.34,19552,0.39,70,snow,windy
2024-01-11 04:22:34+03,Kinango,-4.13934,39.31803,32.55,23,1070,2.74,16686,0.38,81,clear,snowy
2023-12-28 07:39:10+03,Kihancha,-1.19398,34.61650,36.18,66,969,18.1,2454,0.28,56,snow,stormy
